modelo	num_leaves	min_data_in_leaf	learning_rate	feature_fraction	bagging_fraction	bagging_freq	lambda_l2	max_depth	min_gain_to_split	lambda_l1	min_sum_hessian_in_leaf	par	semilla_modelo	semilla_undersampling	AUC	best_iter
M01	31	500	0.01	0.6	0.75	1	0	-1	0.01	0	0.001	6	445583	569671	0.931878759524659	634
M01	31	500	0.01	0.6	0.75	1	0	-1	0.01	0	0.001	7	172169	164309	0.932202470738993	796
M01	31	500	0.01	0.6	0.75	1	0	-1	0.01	0	0.001	8	665783	805573	0.933185074092052	793
M01	31	500	0.01	0.6	0.75	1	0	-1	0.01	0	0.001	9	630127	464131	0.93227124223216	730
M01	31	500	0.01	0.6	0.75	1	0	-1	0.01	0	0.001	10	343153	371719	0.933133986662527	795
M02	31	500	0.01	0.5	0.9	1	0	-1	0.05	0	0.001	6	445583	569671	0.931800951300359	733
M02	31	500	0.01	0.5	0.9	1	0	-1	0.05	0	0.001	7	172169	164309	0.932373068481898	787
M02	31	500	0.01	0.5	0.9	1	0	-1	0.05	0	0.001	8	665783	805573	0.933559118722613	915
M02	31	500	0.01	0.5	0.9	1	0	-1	0.05	0	0.001	9	630127	464131	0.932521490642048	835
M02	31	500	0.01	0.5	0.9	1	0	-1	0.05	0	0.001	10	343153	371719	0.932898558684429	836
M03	31	500	0.01	0.5	0.9	1	0	-1	0.01	0	0.001	6	445583	569671	0.931629903972689	733
M03	31	500	0.01	0.5	0.9	1	0	-1	0.01	0	0.001	7	172169	164309	0.9324198723227	853
M03	31	500	0.01	0.5	0.9	1	0	-1	0.01	0	0.001	8	665783	805573	0.933642789644248	948
M03	31	500	0.01	0.5	0.9	1	0	-1	0.01	0	0.001	9	630127	464131	0.93228022990379	765
M03	31	500	0.01	0.5	0.9	1	0	-1	0.01	0	0.001	10	343153	371719	0.9328462171127	876
M04	31	500	0.01	0.5	0.9	1	0	-1	0.05	0	1	6	445583	569671	0.931751909343591	731
M04	31	500	0.01	0.5	0.9	1	0	-1	0.05	0	1	7	172169	164309	0.932440064892997	783
M04	31	500	0.01	0.5	0.9	1	0	-1	0.05	0	1	8	665783	805573	0.93344962358559	796
M04	31	500	0.01	0.5	0.9	1	0	-1	0.05	0	1	9	630127	464131	0.932448574553288	866
M04	31	500	0.01	0.5	0.9	1	0	-1	0.05	0	1	10	343153	371719	0.93284599813715	837
M05	31	500	0.01	0.5	0.9	1	0	-1	0.05	1	0.001	6	445583	569671	0.932158343175171	846
M05	31	500	0.01	0.5	0.9	1	0	-1	0.05	1	0.001	7	172169	164309	0.932550254643613	855
M05	31	500	0.01	0.5	0.9	1	0	-1	0.05	1	0.001	8	665783	805573	0.933786054988612	921
M05	31	500	0.01	0.5	0.9	1	0	-1	0.05	1	0.001	9	630127	464131	0.932454701199069	837
M05	31	500	0.01	0.5	0.9	1	0	-1	0.05	1	0.001	10	343153	371719	0.93309416708814	975
M06	31	500	0.01	0.5	0.9	1	0	-1	0.05	1	1	6	445583	569671	0.932124985724889	750
M06	31	500	0.01	0.5	0.9	1	0	-1	0.05	1	1	7	172169	164309	0.932634522716831	854
M06	31	500	0.01	0.5	0.9	1	0	-1	0.05	1	1	8	665783	805573	0.933771675980506	912
M06	31	500	0.01	0.5	0.9	1	0	-1	0.05	1	1	9	630127	464131	0.93239578083149	838
M06	31	500	0.01	0.5	0.9	1	0	-1	0.05	1	1	10	343153	371719	0.933063040495896	1021
M07	31	500	0.01	0.6	0.9	1	0	-1	0	1	0.001	6	445583	569671	0.931573157639778	756
M07	31	500	0.01	0.6	0.9	1	0	-1	0	1	0.001	7	172169	164309	0.931836125080835	805
M07	31	500	0.01	0.6	0.9	1	0	-1	0	1	0.001	8	665783	805573	0.933240308288695	949
M07	31	500	0.01	0.6	0.9	1	0	-1	0	1	0.001	9	630127	464131	0.93209949947418	900
